Name;Description;Price
"San Pellegrino";"San Pellegrino is a sparkling mineral water sourced from the San Pellegrino Terme area in Italy, but it is widely popular in France as well. It's known for its refreshing, bubbly effervescence and is often paired with gourmet meals.";"3.49"
"Fiji Water";"Sourced from a sustainable aquifer in Fiji, this natural artesian water is known for its smooth taste and high-quality mineral content.";"0.99"
"Voss";"A Norwegian brand known for its pure artesian water, Voss is often recognized for its sleek, minimalist glass bottle and crisp, clean taste.";"2.49"
"Volvic";"Sourced from the Auvergne region of France, Volvic is a volcanic spring water known for its refreshing taste, enriched with minerals from the volcanic rocks it passes through.";"1.79"
"Evian";"Sourced from the French Alps, Evian is renowned for its purity and unique mineral composition. A soft, balanced water perfect for daily hydration.";"1.99"
"Cristalline";"Light and affordable, Cristalline is the ideal spring water for the whole family. Available throughout France, it ensures healthy hydration at all times.";"0.99"
"Matouba";"Sourced from the Guadeloupe region, Matouba offers exceptional purity. Rich in minerals, it’s a symbol of natural freshness and authenticity.";"2.49"
"Vittel";"From the Vosges Mountains, Vittel is known for its revitalizing properties. Rich in minerals, it’s the perfect choice to quench your thirst while maintaining a balanced diet.";"1.79"
"Badoit";"A naturally sparkling water from the Saint-Galmier region, Badoit is famous for its effervescence and refreshing taste. Ideal for pairing with meals or enjoyed on its own.";"2.99"
"Hépar";"Known for its digestive benefits, Hépar is a mineral water from the Vosges region. Naturally rich in magnesium, it’s perfect for promoting hydration and digestion.";"1.89"
